0JOLLY COOP|ВЕСЕЛИЙ КО-ОП
Difficulty|Складність
Color Mode|Режим забарвлення
INFO_COLOR|Є три режима забарвлення:<LINE><LINE>- Звичайний: первісне забарвлення слимакотів.<LINE>- Автоматичне: дає грі обрати унікальні кольори для кожного слимакота.<LINE>- Користувацьке: налаштовує кольори повзунками.
Input Help|Допомога з введенням
Spears hit|Списи влучають
Players: <num_p>|Гравців: <num_p>
Friendly lizards|Дружні ящери
Player <p_n>|Гравець <p_n>
Camera Input|Чутливість камери
Local co-op!|Локальний ко-оп!
ADJUST_COLOR|Змінити режим забарвлення
COLOR_BUTTON|Колір
REFER_MANUAL|Перегляньте посібник для подальшої інформації
INTRODUCTION|ВВЕДЕННЯ
DIFFICULTIES|СКЛАДНОСТІ
PIGGYBACKING|НОСІННЯ НА СПИНІ
INFO_DIFF|У Веселому Ко-опі доступні три рівні складності:<LINE><LINE>- На легкій щонаймеш один гравець має дістатися притулку.<LINE>- На звичайній усі гравці (живими чи мертвими) мають дістатися притулку. Не полишайте спочилих товаришів!<LINE>- На складній усі гравці мають бути живими для закінчення циклу.<LINE><LINE>Пам'ятайте, що для засинання всі гравці мають бути в тому самому притулку, незалежно від складності! 
INFO_CAMERA|У Веселому Ко-опі камера спільна для всіх гравців. Під час гри в нижньому правому кутку стрілкою відображується, за ким  наразі слідкує камера.<LINE>Для переспрямовування камери до свого гравця двічі натисніть клавішу МАПА.<LINE><LINE>Опція «Чутливість камери» визначає, наскільки швидко треба двічі натискати, і присутня переважно для пристосування!
Spears miss|Списи не влучають
No stealing|Без крадіжок
INFO_DIFF_DESCRIPTION|Натисніть задля більшої інформації про опції складності
description_spears_on|Кинуті вами списи оминатимуть інших гравців
MANUAL_INTRODUCTION_1|Веселий Ко-оп дозволяє вам грати в сюжетні кампанії та інші режими гри разом з друзями! Обирайте свого найулюбленішого слимакота та здійсніть цю подорож разом в групі до чотирьох гравців.
MANUAL_PIGGYBACKING_1|У Веселому Ко-опі утримання клавіші <ВЗЯТИ> поряд з гравцем, що присів навпочіпки, дозволяє вам носити його на спині. Це також можна робити зі знешкодженими гравцями.
MANUAL_PIGGYBACKING_2|Можна кидати гравців зі своєї спини для досягання вищих виступів або предметів. Переносимі гравці також можуть зістрибнути в будь-який момент.
INFO_CAMERA_DESCRIPTION|Натисніть задля більшої інформації про опції камери
INFO_COLOR_DESCRIPTION|Натисніть задля більшої інформації про опції забарвлення
DIFFICULTY INFORMATION|ІНФОРМАЦІЯ ПО СКЛАДНОСТІ
description_spears_off|Кинуті вами списи влучатимуть у інших гравців
CAMERA INFORMATION|ІНФОРМАЦІЯ ПО КАМЕРІ
description_pup_on|Гравець <p_n> буде кошеням
description_hud_on|Ховає імена гравців та інші індикатори
MANUAL_SURVIVING_1|Щоб вдало заснути, всі живі гравці мають бути в тому самому притулку, незалежно від складності! Це також стосується інших подій, таких як перетинання брам.
MANUAL_SELECTING_1|Можна урізноманітнювати та збирати слимакотів, якими ви будете грати! Спочатку оберіть кампанію як і зазвичай, нею визначатиметься світ і його сюжет (речі на кшталт потрібної їжі, лігв істот тощо).
MANUAL_SELECTING_2|Потім, розгорніть меню Веселого Ко-опу та виберіть зовнішній вигляд та здібності кожного окремого гравця! Також можна обрати гру слимакошеням.
COLOR INFORMATION|ІНФОРМАЦІЯ ПО ЗАБАРВЛЕННЮ
Vanilla shortcuts|Звичайні проходи
Friendly stealing|Дружня крадіжка
ADJUST_DIFFICULTY|Змінити складність
SURVIVING A CYCLE|ЗАВЕРШЕННЯ ЦИКЛУ
MANUAL_POINTING_1|Можна спілкуватися з іншими гравцями та Сміттярами вказівками!
MANUAL_POINTING_2|Для вказування двічі натисніть та утримуйте клавішу <МАПА>. Утримуючи клавішу <МАПА>, рухайтеся в тому напрямку, в якому хочете вказати.
MANUAL_POINTING_3|Вказування на істоту або предмет виділить їх. Сміттярі так само дивитимуться на те, на що ви вказуватимете.
Adjust the number of players|Налаштувати кількість гравців
description_camera_toggle_on|Коли камера вже спрямована на вас, повторний її запит спрямує її на наступного гравця
CLOSE|ЗГОРНУТИ
RESET|Скинути
PLAYER_CLASS_INSTRUCTION_MAIN|Щоб змінити персонажа Гравця 1, оберіть іншу кампанію.
description_camera_toggle_off|Запит на камеру, коли вона вже спрямована на вас, нічого не робитиме
description_smart_shorcuts_on|(Рекомендовано) Переходячи до інших кімнат, ви чекатимете на інших гравців у проходах
PLAYER_CLASS_INSTRUCTION|Оберіть зовнішній вигляд та здібності Гравця <p_n>.
PLAYER_CUSTOM_NAME_DESCRIPTION|Клацніть, щоб змінити ім'я Гравця <p_n>
description_smart_shorcuts_off|Звичайні проходи
description_friendlylizards_on|Приручені ящери будуть дружніми до інших гравців
EASY|ЛЕГКА
HARD|СКЛАДНА
FAST|ШВИДКА
SLOW|ПОВІЛЬНА
AUTO|АВТОМАТИЧНЕ
SHOW|ПОКАЗАТИ
Body|Тіло
Eyes|Очі
NORMAL|ЗВИЧАЙНА
CUSTOM|КОРИСТУВАЦЬКЕ
HUD on|Показники ввімкнено
CAMERA|КАМЕРА
DEFAULT|ПЕРВІСНЕ
HUD off|Показники вимкнено
description_pup_off|Гравець <p_n> буде нормального віку
description_hud_off|Відображає імена гравців та інші індикатори
COLOR CONFIGURATION|Конфігурація кольору
JOLLY_MANUAL_BUTTON|Посібник
SELECTING A SLUGCAT|ВИБІР СЛИМАКОТА
MANUAL_DIFFICULTY_1|У Веселому Ко-опі доступні три складності:
MANUAL_DIFFICULTY_2|- Легка: щонайменш один гравець має дістатися до притулку.
MANUAL_DIFFICULTY_3|- Звичайна: всі гравці (живими чи мертвими) мають дістатися притулку. Не полишайте спочилих товаришів!
MANUAL_DIFFICULTY_4|- Складна: кожен гравець має бути живим задля завершення циклу.
description_friendlylizards_off|Приручені ящери атакуватимуть невідомих гравців
description_friendlystealing_on|Гравці можуть цупити предмети з рук інших гравців
description_friendlystealing_off|Забороняє крадіжку між гравцями
Camera cycles|Камера перемикається
ADJUST_CAMERA|Змінити чуйність камери
Camera doesn't cycle|Камера не перемикається
Smart shortcuts|Розумні проходи
Vanilla lizards|Звичайні ящери
MANUAL_CAMERA_1|У Веселому Ко-опі ігрова камера спільна для всіх гравців і в будь-який час відстежуватиме якогось кокретного гравця. Натисніть клавішу <МАПА>, щоб переспрямувати камеру на себе.
MANUAL_CAMERA_2|Можна налаштувати, наскільки швидко потрібно натискати клавішу <МАПА>, у меню Веселого Ко-опу.
MANUAL_CAMERA_3|Якщо в меню Веселого Ко-опу ввімкнено опцію перемикання камери, натискання клавіші <МАПА>, коли камера вже спрямована на вас, натомість переспрямує її до наступного гравця.
MANUAL_CAMERA_4|Індикатор в нижньому правому куті відображатиме стрілку на гравцеві, за яким наразі курсує камера.
MANUAL_CAMERA_5|У певних моментах кампанії камера може бути замкнена на окремому гравцеві; це позначається спеціальною іконкою.
HUE|Від.
SAT|Нас.
LIT|Яск.
POINTING|ВКАЗУВАННЯ
