0THAI|ТАЙСЬКА
Monk|Чернець
AUTO|АВТОМ.
INFO|ІНФО
EXIT|ВИХІД
Run!|Біжіть!
Jump|Стрибнути
Move|Рух
Left|Вліво
Down|Вниз
View|Перегляд
Food|Їжа
EDIT|РЕДАГУВАТИ
PLAY|ГРАТИ
BACK|НАЗАД
NEXT|НАСТУПНИЙ
You!|Ти!
You.|Ти.
TRADITIONAL CHINESE|ТРАДИЦІЙНА КИТАЙСЬКА
Fixed campaign seed|Фіксований сід кампанії
watcher-description|Розширення, що додає нову кампанію: Спостерігача. У цьому доповненні є нові регіони, істоти, механіки, предмети, понад 150 нових музикальних треків і багато чого іншого.
backup_info_loading|Завантажується інформація слоту збереження...
backup_info_no_data|Цей слот збереження не містить жодних сюжетних даних.
backups_description|Переглядайте, створюйте або відновлюйте заздалегідь збережені бекапи даних.
save_file_corrupted|Сталася помилка під час спроби прочитати або ініціалізувати файл збереження. <LINE>З метою захисту ваших збережених даних запуск гри було зупинено. <LINE>Зверніться до служби підтримки Akupara Games із зазначенням наступного коду помилки. <LINE><LINE>КОД ПОМИЛКИ: {ERROR}<LINE><LINE>Чи бажаєте ви повторити спробу завантаження файлу збереження?
objecttype-PuffBall|Споровик
objecttype-WaterNut|Бульбашкоплід
objecttype-Mushroom|Гриб
creaturetype-Spider|Павук
creaturetype-BigEel|Левіафан
creaturetype-EggBug|Яйцежук
The Monk-linebreaks|Чернець
Speedrun Validation|Валідація спідранів
switch_controls_map|Клавіша R
Showing level names|Показувати тільки назви рівнів
ps4_region_map_help|Натисніть R1, щоб переглянути регіональну мапу
Successful cycles :|Вдалих циклів:
Helped Five Pebbles|Допомогли П'яти Галькам
New arenas unlocked|Розблоковано нові арени
mod_menu_apply_mods|Застосовуються зміни модів, будь ласка, почекайте...
mod_menu_enable_all|Увімкнути всі моди
Creating index maps|Створення індекс-мап
OpDragger_MouseTuto|Утримуйте клавішею миші та тягніть вгору або вниз для налаштування величини.
MenuModStat_MapTuto|Утримуйте <Button> щоб перевірити керування
Loading screen tips|Підказки на екрані завантаження
Hunter Bonus Cycles|Бонусні цикли Мисливця
Visual breath meter|Візуальний лічильник дихання
Scavenger headshots|Влучання в голови сміттярів
NONE (User Defined)|ЖОДНИЙ (Визначений користувачем)
rwremix-description|Велике розмаїття налаштувань особливостей доступності та особливостей, доданих на запит спільноти, серед яких як і нові механіки ґеймплею, так і бонусні функції. Користуйтеся екраном кастомізації, щоб вмикати/вимикати окремі опції.
Hello <PlayerName>.|Привіт, <PlayerName>.
still, very... bad.|все ще, дуже... погано.
I will take a look.|Зараз подивлюся.
There you go again.|Знову ти за своє.
again... leaving...|знову... йдеш...
SIMPLIFIED CHINESE|СПРОЩЕНА КИТАЙСЬКА
No Ringing in Ears|Без дзвону в вухах
remix_game_version|Версія гри була оновлена. Вам потрібно буде застосувати ваші моди в меню Remix.
ROUNDS SESSION-ru2|РАУНДИ НА СЕСІЮ
objecttype-SeedCob|Попкорн
objecttype-Lantern|Ліхтар
objecttype-FlyLure|Кажаняча м'ята
creaturetype-Leech|П'явка
creaturetype-Snail|Равлик
creaturetype-Hazer|Затемнювач
Industrial Complex|Промисловий Комплекс
Scavenger Merchant|Торговець Сміттярів
Path of aggression|Шлях агресії
Catch and eat them|Впіймайте та з'їжте їх.
Configure controls|Налаштувати керування
No players joined!|Жоден гравець не приєднався!
Start new playlist|Розпочати нову чергу
minutes until rain|хв. до дощу
mod_menu_next_page|Переглянути наступну сторінку встановлених модів
mod_menu_prev_page|Переглянути попередню сторінку встановлених модів
mod_menu_configure|Змінити конфігурації й опції обраного мода
OpUpdown_MouseTuto|Клацніть та наберіть числа, використовуйте стрілки або коліщатко прокрутки для налаштування
Dialog pauses rain|Діалог призупиняє дощ
Lizard spear pulls|Витягування ящерами списів
Slow Motion Factor|Фактор сповільнення
remix_first_launch|Додатковий контент та конфігурації доступні через меню РЕМІКСУ. Використовуйте РЕМІКС, щоб додавати, змінювати або налаштовувати контент, доступний у вашій грі Rain World.
remix_dlc_redirect|Натисніть на контент, щоб перейти на сторінку магазину та дізнатися більше.
How have you been?|Як справи?
You're here again.|Ти знову тут.
...you...killed...|...ти... вбив...
Yet another thing?|Ще щось?
Yet again leaving.|І знову йдеш.
