0Moth Grubs|Личинок Шовкопрядів
Sand Grubs|Піщаних Личинок
Sand Worms|Піщаних Хробаків
Sky Whales|Небесних Китів
Millipedes|Многоніжок
EXPEDITION|ЕКСПЕДИЦІЯ
MILESTONES|ВІХИ
Salamander|Саламандр
Scavengers|Сміттярів
Centiwings|Багатокрилок
Tube Worms|Хапальних черв'яків
Leviathans|Левіафанів
Inspectors|Інспекторів
Back Spear|Спинний Спис
Joke Rifle|Жартівка
AVAILABLE:|ДОСТУПНИХ:
Puff Balls|Споровиків
CHALLENGES|ВИПРОБУВАННЯ
BEST TIME:|НАЙЛІПШИЙ ЧАС:
Ripple Spiders|Павуків Брижів
Indigo Lizards|Індигових ящерів
Grapple Snakes|Хапальних Зміїв
Yellow Lizards|Жовтих ящерів
Red Centipedes|Червоних багатоніжок
Miros Vultures|Лезокрильців
Mother Spiders|Павучих
Slugcat Select|Вибір Слимакота
colored pearls|кольорових перлин
Explosive Jump|Вибуховий Стрибок
Scavenger Bomb|Бомба Сміттярів
Electric Spear|Електричний Спис
Neuron Gifting|Дарування нейронів
Pearl Delivery|Доставка перлин
Pearl Hoarding|Накопичення перлин
Vista Visiting|Відвідування віст
Scavenger Hunt|Полювання Сміттярів
Challenge list|Лист випробувань
Total: <total>|Загалом: <total>
SLUGCAT SELECT|ВИБІР СЛИМАКОТА
NEW BEST TIME:|НОВИЙ НАЙЛІПШИЙ ЧАС:
Peach Lizards|Персикових ящерів
Rot Behemoths|Погнилих Велетнів
-PROGRESSION-|- ПРОГРЕСІЯ -
-UNLOCKABLES-|- РОЗБЛОКОВУВАНЕ -
Apex Predator|Вершинний Хижак
Green Lizards|Зелених ящерів
White Lizards|Білих ящерів
Black Lizards|Чорних ящерів
White Cicadas|Білих кальмарокад
Black Cicadas|Чорних кальмарокад
King Vultures|Королівських Стерв'ятників
Large Spiders|Великих павуків
Stowaway Bugs|Прихованців
common pearls|звичайних перлин
Item Crafting|Майстрування Предметів
Vulture Masks|Масок Стерв'ятників
Echo Sighting|Відлуння
Overall Score|Підсумок
Spear Pinning|Приколювання списами
Guiding Light|Світло в темряві
Normal: <num>|Звичайних: <num>
Hidden: <num>|Схованих: <num>
Rattlers|Кісткотрясів
-CUSTOM-|- КОРИСТУВАЦЬКЕ -
LEVEL UP|НОВИЙ РІВЕНЬ
- PAGE -|- СТОРІНКА -
DESELECT|ВІДМІНИТИ
Slugcats|Слимакотів
Vultures|Стерв'ятників
Egg Bugs|Яйцежуків
Dropwigs|Падовійок
Batflies|Кажанів
Firebugs|Вогнежуків
DEATHS :|СМЕРТЕЙ :
BURDENS:|ТЯГАРІВ:
a neuron|нейрон
MISSIONS|МІСІЇ
CONTROLS|КЕРУВАННЯ
Barnacles|Барнаклів
Big Moths|Великих Шовкопрядів
Box Worms|Коробкових Червів
-FILTERS-|- ФІЛЬТРИ -
Food Tour|Харчовий Тур
MILESTONE|ВІХА
Rain Deer|Дощових оленів
Aquapedes|Водяних багатоніжок
Slow Time|Сповільнення Часу
Fly Lures|Кажанячої М'яти
Jellyfish|Медуз
Mushrooms|Грибів
Missions:|Місій:  <missions> / 6
Drill Crabs|Свердловиків
Small Moths|Малих Шовкопрядів
Tardigrades|Тихоходів
Red Lizards|Червоних ящерів
