0Bite|Кусати
Hiss|Шипіти
Call|Звати
SRS:|СЧС:
NSH:|БЗО:
EOC:|ЕХ:
BSM:|ССМ:
NGI:|НҐІ:
Scar|Шрам
Luna|Луна
Hang|Повиснути
Bash|Гепнути
Flee|Тікати
Grab|Схопити
Spit|Плюнути
Noot|Гудіти
Howl|Вити
Snip|Клацати
Jump|Стрибати
Moo!|Мукати
None|Немає
Lunge|Кинутися
Saint|Святий
Gills|Зябри
Vents|Вентиляції
Click|Луснути
Sleep|Заснути
Birth|Породити
Chomp|Зжерти
Throw|Кинути
Shock|Вдарити Струмом
Point|Вказати
Laser|Націлити
Arena|Арена
Class|Клас
Items|Предмети
STOP.|ЗУПИНИСЬ.
Launch|Метнутися
Tongue|Язик
Spears|Списи
Struts|Підпори
Burrow|Заховатися
Attach|Прикріпитися
Squeak|Пищати
Pounce|Накинутися
Skewer|Нанизати
Detach|Відчепитися
Snatch|Схопити
Sprint|Мчати
Signal|Сигналізувати
Ascend|Піднятися
DON'T.|НЕ СМІЙ.
LEAVE.|ЙДИ.
Consume|Поглинути
Rivulet|Струмок
The Rot|Гниль
Rubicon|Рубікон
Pick Up|Підняти
Release|Відпустити
Discard|Відкинути
Stealth|Скритися
Ensnare|Зловити
Harpoon|Загарбати
Pick up|Підняти
Descend|Спуститися
...WHY?|...ЧОМУ?
Are my words reaching you?|Чи сягають до тебе мої слова?
Go... away! You ate... me!|Йди... геть! Ти... з'їв мене!
creaturetype-ScavengerKing|Отаман Сміттярів
objecttype-SingularityBomb|Бомба Сингулярності
Undiscovered Transcription|Незнайдена Передача
Destroy all armored plates|Збити всі броньовані пластини
Please, don't touch those!|Будь ласка, не чіпай їх!
Ah, you must be in a rush.|А ти, мабуть, кудись поспішаєш.
Stop. If your intent is to damage my systems further, then I have no reason to continue this conversation.|Зупинись. Якщо ти наміряєшся й надалі пошкоджувати мої системи, мені немає його продовжувати цю розмову.
Very well, you are on your own, creature. Please leave.|Ну нехай, ти тепер сам по собі, маленька істото. Будь ласка, йди.
We've read this, little creature. As previously stated:|Ми вже це читали, маленька істото. Як зазначалося раніше:
Hold Eat while grabbing an unconscious creature to maul|Утримуйте клавішу З'ЇСТИ, тримаючи непритомну істоту, щоб калічити
Hold throw while flying to charge your ascension burst.|У польоті утримуйте КИДАТИ, щоб зарядити лускіт вознесіння.
Hold the pick-up button to pull needles from your body.|Утримуйте клавішу ВЗЯТИ, щоб витягувати голки зі свого тіла.
You're not leaving? I suppose I should continue then...|Ти ще не йдеш? Тоді, напевно, продовжу звідти, де й зупинилася...
However, you really shouldn't stay. It's too dangerous.|Однак, тобі справді не варто затримуватися. Тут надто небезпечно.
Don't. My systems have already been damaged enough as it is. Go away.|Не смій. Мої системи вже були достатньо пошкоджені, як є. Йди собі.
Best of luck to you, and your family. There is nothing else I can do.|Удачі тобі та твоїй родині. Більше нічого я зробити не можу.
Go... away... bad... thing...|Йди... геть... погане... щось...
Five Pebbles (Primary Cortex)|П'ять Гальок (Первинний Кортекс)
Abstract Convergence Manifold|Абстрактний Масив Збіжності
Take your offspring with you.|Візьми своїх нащадків з собою.
Too... broken...|Надто... пошкоджена...
The Rot (Depths)|Гниль (Глибини)
Silent Construct|Мовчазна Споруда
Windswept Spires|Вивітренні Шпилі
Hold to view map|утримуйте для перегляду мапи
Parry ## attacks|Відбити атак: ##
Met Five Pebbles|Зустріли П'ять Гальок
...help... me...|...допоможи... мені...
LET GO! p please|ВІДПУСТИ! бу будь ласка
Shall we finish?|Завершимо?
No! You... killed... me!|Ні! Ти... вбив... мене!
The Rot (Cystic Conduit)|Гниль (Кістозний Канал)
creaturetype-StowawayBug|Прихованець
creaturetype-JungleLeech|Джунглева П'явка
Submerged Superstructure|Затонула Суперструктура
Please do not do that...|Будь ласка, не роби так...
...Not forgotten pain...|...Не забутий біль...
No! <CapPlayerName> ate... me!|Ні! <CapPlayerName>... з'їв... мене!
##<LINE>without anything dying|##,<LINE>не давши нічому померти
Welcome back little messenger.|З поверненням, маленький посланцю.
Spanish translation by Garrakx|Іспанський переклад від Garrakx
...Little green friend. Hello.|...Маленький відвідувачу. Привіт.
No! Am... broken... because you...|Ні! Я... пошкоджена... через тебе...
Five Pebbles (Linear Systems Rail)|П'ять Гальок (Рейки Лінійних Систем)
Looks to the Moon (Memory Conflux)|Споглядачка Місяця (Відсік Пам'яті)
Have you brought your family here?|З тобою малеча?
Hello again. Shall I keep reading?|Привіт ще раз! Мені продовжувати читати?
No!|Ні!
WO:|БО:
PI:|БІ:
GS:|СЗ:
SI:|ВІ:
HR:|ГР:
CW:|ПВ:
EP:|МП:
FP:|ПГ:
HF:|ХФ:
UU:|НУ:
Sit|Присісти
Bow|Вклонитися
Eat|З'їсти
Fly|Літати
Run|Бігти
Leave... me alone. Terrible... creature...|Дай... мені спокій... жахлива... істото...
I have read this. As I have stated before:|Я це читала. Як я вже раніше сказала:
Explosive jump while holding down to parry|Підстрибніть вибухом, тримаючи ВНИЗ, щоб відбивати
